"DateTime";"Desktop Users";"Mobile Users";"Total"
"2025-08-01 00:00:00";265;1066;1331
"2025-08-02 00:00:00";224;630;853
"2025-08-03 00:00:00";335;444;799
"2025-08-04 00:00:00";304;678;982
"2025-08-05 00:00:00";137;440;577
"2025-08-06 00:00:00";783;427;1210
"2025-08-07 00:00:00";148;571;719
"2025-08-08 00:00:00";378;1214;1592
"2025-08-09 00:00:00";394;770;1165
"2025-08-10 00:00:00";480;349;829
"2025-08-11 00:00:00";920;507;1427
"2025-08-12 00:00:00";353;344;697
"2025-08-13 00:00:00";694;380;1074
"2025-08-14 00:00:00";530;562;1092
"2025-08-15 00:00:00";624;1222;1846
"2025-08-16 00:00:00";244;935;1178
"2025-08-17 00:00:00";148;414;563
"2025-08-18 00:00:00";144;582;726
"2025-08-19 00:00:00";150;409;559
"2025-08-20 00:00:00";871;632;1503
"2025-08-21 00:00:00";574;617;1191
"2025-08-22 00:00:00";1120;1487;2607
"2025-08-23 00:00:00";296;1045;1342
"2025-08-24 00:00:00";592;429;1021
"2025-08-25 00:00:00";603;632;1235
"2025-08-26 00:00:00";643;425;1068
"2025-08-27 00:00:00";483;419;902
"2025-08-28 00:00:00";395;599;995
"2025-08-29 00:00:00";372;571;943
"2025-08-30 00:00:00";395;942;1336
"2025-08-31 00:00:00";150;386;536
"2025-09-01 00:00:00";464;588;1053
"2025-09-02 00:00:00";324;673;997
"2025-09-03 00:00:00";234;406;640
"2025-09-04 00:00:00";315;465;780
"2025-09-05 00:00:00";254;396;650
"2025-09-06 00:00:00";154;394;549
"2025-09-07 00:00:00";376;398;775
"2025-09-08 00:00:00";273;412;685
"2025-09-09 00:00:00";721;614;1336
"2025-09-10 00:00:00";232;406;638
"2025-09-11 00:00:00";323;403;726
"2025-09-12 00:00:00";334;810;1145
"2025-09-13 00:00:00";787;1118;1906
"2025-09-14 00:00:00";158;412;570
"2025-09-15 00:00:00";616;596;1212
"2025-09-16 00:00:00";293;405;698
"2025-09-17 00:00:00";438;396;834
"2025-09-18 00:00:00";596;406;1002
"2025-09-19 00:00:00";316;387;703
"2025-09-20 00:00:00";308;1030;1338
"2025-09-21 00:00:00";650;380;1030
"2025-09-22 00:00:00";313;379;692
"2025-09-23 00:00:00";554;406;950
"2025-09-24 00:00:00";305;433;737
"2025-09-25 00:00:00";698;384;1082
"2025-09-26 00:00:00";511;355;866
"2025-09-27 00:00:00";568;352;920
"2025-09-28 00:00:00";683;296;979
"2025-09-29 00:00:00";618;496;1114
"2025-09-30 00:00:00";323;311;634
"2025-10-01 00:00:00";316;281;598
"2025-10-02 00:00:00";398;282;679
"2025-10-03 00:00:00";121;286;407
"2025-10-04 00:00:00";289;271;560
"2025-10-05 00:00:00";335;251;586
"2025-10-06 00:00:00";102;251;353
"2025-10-07 00:00:00";364;241;605
"2025-10-08 00:00:00";203;213;416
"2025-10-09 00:00:00";203;204;407
"2025-10-10 00:00:00";288;193;482
"2025-10-11 00:00:00";108;181;288
"2025-10-12 00:00:00";275;179;454
"2025-10-13 00:00:00";255;235;491
"2025-10-14 00:00:00";127;156;283
"2025-10-15 00:00:00";134;160;294
"2025-10-16 00:00:00";430;160;590
"2025-10-17 00:00:00";149;171;320
"2025-10-18 00:00:00";256;172;429
"2025-10-19 00:00:00";475;219;694
"2025-10-20 00:00:00";146;179;325
"2025-10-21 00:00:00";146;171;317
"2025-10-22 00:00:00";395;182;576
"2025-10-23 00:00:00";346;171;517
"2025-10-24 00:00:00";278;172;450
"2025-10-25 00:00:00";136;197;334
"2025-10-26 00:00:00";343;294;637
"2025-10-27 00:00:00";149;229;379
"2025-10-28 00:00:00";368;229;596
"2025-10-29 00:00:00";221;233;454
"2025-10-30 00:00:00";423;230;653
"2025-10-31 00:00:00";323;215;538
